Sample	Merged.Kept	Merged.Lost	Paired.Kept	Paired.Lost
SUO114	5037129	235336	3680502	2123634
SUO094	7263022	294433	3866733	2682452
LAN050	5976072	224756	2616045	2050357
THU120	3229270	147102	2411662	1287928
THU107	4944517	229525	3174606	1912148
THU087	4639975	236358	2922116	1797117
SUO115	6424557	293143	4073937	2513904
SUO095	103997	3352	27171	32591
LAN038	4342927	219739	2696647	1680952
BRZ114	3250965	132316	1698870	1180593
THU108	6105087	292719	3636150	2268552
SUO116	4765379	225598	3327435	1890317
LAN052	2218854	107794	1277299	799603
LAN039	6439196	349537	4262647	2557364
BRZ115	1581227	68274	860715	589331
THU109	4528234	251043	4015704	2007154
SUO117	3309185	143035	1980939	1245431
SUO097	2771099	104517	1716842	710325
SUO118	4167739	188665	2737081	1626663
THU124	1902658	87563	1297018	739890
SUO119	5483999	266873	3571750	2157576
SUO099	3955320	182311	3066705	1615429
BRZ099	3849340	197635	2866558	1527003
THU127	3450575	173936	2801122	1490473
LAN071	4742490	256025	3400617	1937151
WAL078	6553705	283164	3986610	2500347
THU128	4663331	230865	3748834	1999827
LAN072	3755047	168214	2207353	1360479
LAN059	5478714	247452	3167258	2061375
WAL079	3998017	207473	2962659	1646685
THU143	2401902	100694	1389864	901861
LAN074	5420215	243344	3132173	2024592
LAN090	4642744	220696	3978873	2032256
LAN111	3057010	158835	2565532	1331711
LAN092	4434546	215681	2889990	1717291
LAN113	3020946	140232	2081392	1198638
LAN093	3751239	222575	4348830	1954104
LAN114	4613508	193707	2844143	1746776
THU164	4809323	220847	3459641	1960165
LAN115	6074076	277896	4060630	2391306
LAN095	5838323	347751	4851252	2566685
THU165	2725668	163922	3156450	1407808
LAN130	3478867	145224	1899382	1276801
LAN117	1100264	69078	1425408	599406
LAN097	5766422	218931	2513377	1967360
175600	5563053	263412	3921632	2167535
175601	2917937	115645	2036842	798474
175602	2431999	97002	1827522	696440
175603	4519336	210111	3258121	1257627
175604	5717087	257145	3713733	2159005
175605	5240525	250683	3793384	2071795
175606	7406463	328771	4718595	2677749
175607	4587640	197280	2900705	1772074
175608	4377538	191670	2742488	1698991
175609	5313120	237488	3490863	2088587
175610	6986476	287356	3940981	1998886
175611	5730039	251380	3646489	1748038
175612	6233532	253513	3690974	1809191
175613	6295625	261888	3714928	2305939
175614	6002616	263801	3866896	2298647
175615	6536545	282896	4070034	2490350
175616	6850100	301814	4230497	2634317
175617	5989397	271893	3964748	2402981
175618	7916815	309507	4468247	2886760
175619	6864385	299032	4310103	2684675
175620	6400290	265716	3214416	2198470
175621	5457298	232884	4376463	2298381
