P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
C.zuerichensis	C.fatioi	C.confusus	0.0133363	0.975363	0.32938	0.126907	206.595	197.981	192.77
C.confusus	C.heglingus	C.profundus	0.0169595	1.40937	0.158726	0.0440315	187.801	202.099	195.359
C.heglingus	C.steinmanni	C.confusus	0.00613122	0.535539	0.592277	0.0575566	204.537	193.352	190.995
C.zuerichensis	C.heglingus	C.confusus	0.00185159	0.218927	0.826707	0.0149732	260.145	166.339	165.724
C.steinmanni	C.profundus	C.confusus	0.0142694	1.21528	0.224259	0.134276	211.586	184.858	179.656
C.confusus	C.zuerichensis	C.profundus	0.00404521	0.298972	0.764961	0.0105347	190.36	200.146	198.533
C.zuerichensis	C.steinmanni	C.confusus	0.00762694	0.540538	0.588826	0.0723608	202.495	196.28	193.308
C.duplex	C.heglingus	C.fatioi	0.00905506	0.556595	0.577804	0.0275624	214.413	184.403	181.094
C.fatioi	C.profundus	C.duplex	0.0175417	1.32182	0.186229	0.0582874	210.66	184.08	177.734
C.fatioi	C.steinmanni	C.duplex	0.00597671	0.715915	0.474044	0.0189551	223.443	173.702	171.638
C.zuerichensis	C.duplex	C.fatioi	0.00506313	0.296051	0.767191	0.0151046	215.409	184.979	183.116
C.heglingus	C.duplex	C.profundus	0.0196977	1.38584	0.165795	0.0484855	211.336	184.364	177.241
C.heglingus	C.duplex	C.steinmanni	0.00999992	0.689327	0.490617	0.0622167	212.877	181.622	178.025
C.zuerichensis	C.heglingus	C.duplex	0.00834805	0.94183	0.34628	0.0368833	219.983	174.571	171.681
C.steinmanni	C.profundus	C.duplex	0.0116702	0.869737	0.384444	0.0399912	198.5	185.635	181.352
C.zuerichensis	C.duplex	C.profundus	0.0335633	2.3241	0.0201203	0.080411	212.709	188.627	176.376
C.zuerichensis	C.duplex	C.steinmanni	0.0236035	1.6175	0.105771	0.137067	214.11	185.745	177.179
C.profundus	C.fatioi	C.heglingus	0.0112699	0.889604	0.373678	0.0370884	212.92	183.303	179.217
C.steinmanni	C.fatioi	C.heglingus	0.0139016	1.8245	0.0680772	0.043329	225.071	176.576	171.734
C.zuerichensis	C.heglingus	C.fatioi	0.0153898	1.84774	0.0646397	0.0419276	246.085	170.663	165.49
C.steinmanni	C.fatioi	C.profundus	0.038863	3.5984	0.000320178	0.108772	202.182	183.304	169.589
C.profundus	C.fatioi	C.zuerichensis	0.011124	0.966652	0.333718	0.0418108	218.409	183.619	179.579
C.steinmanni	C.fatioi	C.zuerichensis	0.0133406	1.56212	0.11826	0.0480274	229.839	176.17	171.531
C.steinmanni	C.profundus	C.heglingus	0.00205727	0.15027	0.880551	0.00676946	204.225	184.237	183.48
C.zuerichensis	C.heglingus	C.profundus	0.0154598	1.67475	0.0939827	0.0336587	247.92	168.412	163.284
C.zuerichensis	C.heglingus	C.steinmanni	0.0150373	1.73604	0.082557	0.0795213	247.998	167.734	162.764
C.steinmanni	C.profundus	C.zuerichensis	0.00162419	0.116974	0.906881	0.00619541	209.618	184.502	183.904
