"Sample" "ID"
"WAL009" "WAL10_duplex"
"WAL010" "WAL10_duplex"
"WAL014" "WAL10_duplex"
"WAL016" "WAL10_duplex"
"WAL021" "WAL13_heglingus"
"WAL022" "WAL13_heglingus"
"WAL024" "WAL13_heglingus"
"WAL030" "WAL13_heglingus"
"WAL031" "WAL13_heglingus"
"WAL033" "WAL13_heglingus"
"WAL036" "WAL13_heglingus"
"WAL040" "WAL13_heglingus"
"WAL041" "WAL13_heglingus"
"WAL042" "WAL13_heglingus"
"WAL045" "WAL13_heglingus"
"WAL078" "WAL10_duplex"
"WAL079" "WAL10_duplex"
"WAL084" "WAL10_duplex"
"WAL086" "WAL10_duplex"
"WAL088" "WAL10_duplex"
"ZUR011" "ZUR10_duplex"
"ZUR018" "ZUR10_duplex"
