       clusters_total filtered_by_depth filtered_by_maxH  filtered_by_maxAlleles filtered_by_maxN reads_consens   nsites nhetero heterozygosity
SUO111         113902             42648                0                  2696.0                0         68400 27820317   57235        0.00206
SUO112         197991            123323                0                  2756.0                0         71516 25670250   63908        0.00249
SUO114         225886            148062                0                  2873.0                0         74592 28726091   68953        0.00240
SUO115         184046            104877                0                  2781.0                0         76001 29004643   69795        0.00241
SUO116         290384            212195                0                  3350.0                0         74421 28101169   79363        0.00282
SUO117         304485            232478                0                  2474.0                0         69142 24763188   59939        0.00242
SUO118         208720            133943                0                  2683.0                0         71754 27047279   64280        0.00238
SUO119         315097            236595                0                  3836.0                0         74208 27804054   84220        0.00303
SUO120         179146            105895                0                  2624.0                0         70297 26364697   61151        0.00232
SUO122         169977            100446                0                  2398.0                0         66845 24251762   56328        0.00232
SUO124         170559             96198                0                  2705.0                0         71233 25372025   63268        0.00249
SUO125         257887            184226                0                  2690.0                0         70591 25280641   63064        0.00249
SUO126         320701            245833                0                  2719.0                0         71717 25525881   64266        0.00252
SUO127         244085            167719                0                  2590.0                0         73334 26520655   65733        0.00248
THU001         160771            116517                1                  1677.0                0         42382 11430436   32109        0.00281
THU002         170634             99231                0                  2898.0                0         68222 25211133   63573        0.00252
THU004         243644            182954                0                  2344.0                0         58053 18702284   49004        0.00262
THU005         200233            127735                0                  2717.0                0         69457 25644722   61401        0.00239
THU007         373771            294841                0                  2967.0                0         75557 29229623   70351        0.00241
THU010         300020            236064                0                  2297.0                0         61378 20524153   51289        0.00250
THU011         212740            134993                0                  2749.0                0         74703 29624275   67497        0.00228
THU014         238312            162770                0                  2919.0                0         72326 28154518   66364        0.00236
THU019         270128            193003                0                  2920.0                0         73901 29067140   70839        0.00244
THU027         420206            350244                0                  2574.0                0         67028 23170045   60216        0.00260
THU038         380219            294406                0                  3478.0                0         81849 32255320   85853        0.00266
THU039         396885            319661                0                  2711.0                0         74129 27789381   69259        0.00249
THU056         320903            244419                0                  2820.0                0         73305 27886899   66121        0.00237
THU060         354975            275436                0                  2807.0                0         76303 29417390   67565        0.00230
THU061         210295            132277                0                  2978.0                0         74771 30311480   72173        0.00238
THU066         298035            280838                0                   566.0                0         16467  3490059   11561        0.00331
THU067         417701            337334                0                  5675.0                0         74261 28092733   79755        0.00284
THU073         248793            170801                0                  2885.0                0         74742 29171210   64322        0.00220
THU077         332153            257249                0                  2788.0                0         71629 24787628   62766        0.00253
THU079         301118            224555                0                  2762.0                0         73413 27279597   66271        0.00243
THU080         256466            179388                0                  2750.0                0         73967 27931266   66989        0.00240
THU081         292845            218289                0                  2804.0                0         71397 26384096   64040        0.00243
THU082         326671            248303                0                  2789.0                0         75122 28187331   66315        0.00235
THU083         434806            359917                0                  2733.0                0         71693 25323227   61856        0.00244
THU084         342043            265872                0                  2806.0                0         73008 26790998   66877        0.00250
THU086         243038            167703                1                  2748.0                0         72233 26682825   66359        0.00249
THU087         286819            212147                0                  2813.0                0         71482 25684368   64171        0.00250
THU091         487805            418578                0                  2327.0                0         66372 20924947   55268        0.00264
THU097         260131            184807                0                  3089.0                0         71856 26373517   69483        0.00263
THU099         444319            369599                1                  2534.0                0         71668 24188648   61511        0.00254
THU104         269296            194027                0                  2716.0                0         72180 26423539   63205        0.00239
THU106         242222            164941                1                  2704.0                0         74173 27461547   66944        0.00244
THU107         186930            111243                0                  2665.0                0         72668 26977364   63476        0.00235
THU108         329977            253039                0                  2603.0                0         73881 26420689   66293        0.00251
THU109         230691            154771                0                  2697.0                0         72897 27493765   66316        0.00241
THU110         245487            182793                0                  2181.0                0         60213 19617452   46333        0.00236
THU111         270616            194775                0                  2780.0                0         72733 27783675   65593        0.00236
THU113         457932            393950                1                  2046.0                0         61406 18470133   46782        0.00253
THU114         552047            471299                2                  2891.0                0         76881 24452878   71817        0.00294
THU118         409365            345022                0                  2097.0                0         61720 18511449   48342        0.00261
THU119         299813            231099                0                  2672.0                0         65728 23232044   54701        0.00235
THU120         292759            218820                1                  2733.0                0         70897 26367924   63713        0.00242
THU124         319430            254464                0                  2284.0                0         62391 21101106   49717        0.00236
THU127         364239            288389                0                  2823.0                0         72643 27260351   64284        0.00236
THU128         327589            249102                0                  2920.0                0         75175 28778965   68673        0.00239
THU143         352533            285837                0                  2709.0                0         63598 21286271   56702        0.00266
THU164         337174            257322                0                  3288.0                0         76126 28690404   72526        0.00253
THU165         235983            160145                0                  2833.0                0         72736 28546559   66658        0.00234
THU168         378027            301989                0                  2670.0                0         72929 26887699   64433        0.00240
THU173         165120             96646                0                  2565.0                0         65795 27177175   53825        0.00198
THU177         309120            230360                0                  3035.0                0         75313 28758294   70037        0.00244
THU179         257464            184580                0                  2996.0                0         69545 25262114   64908        0.00257
THU182         363031            289150                0                  2489.0                0         70966 25085846   61632        0.00246
THU183         224521            148048                0                  2856.0                0         73273 27978784   68176        0.00244
THU185         346621            267139                0                  2846.0                0         76185 28150430   69477        0.00247
THU187         411128            332939                0                  2896.0                0         74592 25780834   67228        0.00261
THU190         217571            144523                0                  2888.0                0         69834 25981565   63952        0.00246
THU197         367602            295192                0                  2875.0                0         69134 24324733   62899        0.00259
THU198         382750            316882                0                  2344.0                0         63094 20042332   51424        0.00257
THU199         411102            379483                1                  1014.0                0         30107  6469912   20152        0.00311
WAL003         227543            144525                0                  3359.0                0         79306 32198028   79095        0.00246
WAL004         262985            177104                0                  4069.0                0         81376 32319921   85112        0.00263
WAL006         328596            240167                0                  4642.0                0         83321 33350943   92423        0.00277
WAL007         265129            186482                0                  3886.0                0         74465 29728369   76999        0.00259
WAL009         277824            196761                0                  3643.0                0         77067 30595647   78621        0.00257
WAL010         269697            184088                0                  4246.0                0         80922 32008980   83774        0.00262
WAL014         211845            131129                0                  3814.0                0         76523 29761630   74936        0.00252
WAL016         229103            147357                0                  3274.0                0         78121 31002205   79498        0.00256
WAL021         164420             91873                0                  2601.0                0         69674 26464841   56726        0.00214
WAL022         235472            158435                0                  2867.0                0         73765 27537585   68094        0.00247
WAL024         199332            119870                0                  3014.0                0         76112 30524766   71173        0.00233
WAL030         137568             70471                0                  2365.0                0         64425 22189920   51368        0.00231
WAL031         201456            123470                0                  2845.0                0         74772 28338844   69387        0.00245
WAL033         194177            116224                0                  2887.0                0         74667 27702448   67095        0.00242
WAL036         239848            163177                0                  2909.0                0         73424 27869408   70800        0.00254
WAL040         226262            149862                0                  2733.0                0         73318 27431933   67455        0.00246
WAL041         250611            174451                0                  2761.0                0         73002 27024294   65511        0.00242
WAL042         233540            160245                0                  2676.0                0         70333 26199596   61370        0.00234
WAL045         207991            127419                0                  3086.0                0         77126 30745882   77582        0.00252
WAL078         221081            138837                0                  5832.0                0         75906 27973093   81846        0.00293
WAL079         181040            105010                0                  4484.0                0         71245 27431272   72170        0.00263
WAL084         188539            111928                0                  3126.0                0         73191 28651949   69113        0.00241
WAL086         199731            120399                0                  4108.0                0         74841 28723412   74240        0.00258
WAL088         229071            149074                0                  3432.0                0         76163 29256548   73638        0.00252
ZUR011         511925            429636                0                  2935.0                0         78464 26308745   72056        0.00274
ZUR018         345325            268866                0                  2898.0                0         73110 26283095   69060        0.00263
