Sample	Merged.Kept	Merged.Lost	Paired.Kept	Paired.Lost
LAN131	4422424	16681	3047517	1238473
LAN098	1584095	5056	824078	402204
THU168	3700301	14936	3033935	1100860
LAN132	3475168	13303	3182016	1101192
LAN119	5186650	16091	2944927	1041608
LAN099	4826534	17665	3342913	1335331
THU182	3971971	13173	2490299	864085
LAN133	4022051	12307	2190948	803319
THU183	4502463	16937	3366287	1282600
LAN134	5581687	19420	3544795	1502012
LAN135	6948351	21000	3869965	1762824
THU185	5747695	20225	3977930	1561959
THU187	5430371	17225	2897792	1365875
SUO001	5891393	22820	4122725	1673819
SUO002	3539400	12025	2003174	869905
BRZ001	4597312	17188	3188627	1264955
SUO003	4533663	15427	2690864	1127691
SUO004	6785453	26009	4647329	1863750
THU010	2778413	10354	1654139	722462
SUO005	4583405	20164	4046934	1412521
BRZ004	6175590	27073	5744635	1968294
THU011	5400405	20410	3989447	1513611
SUO006	1719247	6243	777704	406753
BRZ005	5614133	19661	3980876	1504816
SUO020	5655788	24057	4315259	1617827
BRZ006	7400074	26569	4982381	2031303
BRZ020	5504359	19684	3014487	1358533
THU014	3699710	15163	2906771	1065970
SUO022	2645208	9948	1661031	710408
SUO009	5293786	19789	3474757	1404155
BRZ021	3553773	12932	1934373	908830
BRZ008	6172793	23545	4357861	1722572
SUO023	3826143	14727	2647014	1060678
BIE030	2586638	8671	1405517	669689
BRZ025	2876334	10508	1747129	769458
THU019	4998043	22187	4070967	1500387
SUO027	4094110	17674	3244242	1185812
BRZ026	3152648	13746	2350072	905021
WAL003	6603978	27697	6006168	2032131
BRZ040	2151587	8704	1102912	512186
BRZ027	3465665	10682	1838950	877312
WAL004	7797840	29087	6075245	2199730
BRZ028	4607722	19055	3254689	1268354
BRZ041	3126266	11695	1767725	814538
SUO043	7009445	24707	4556531	1837705
BIE050	4422135	16797	3258769	1257785
WAL006	9397745	35580	8211215	2846016
WAL007	4525255	21236	4447835	1468306
BRZ044	2533934	9743	1710736	718056
WAL021	1890899	6455	1628836	375000
THU038	9125661	37277	6965758	2648501
BRZ045	1156301	3908	468805	209672
WAL022	5282019	19335	3959425	1555940
WAL009	6416383	28134	5473169	1961587
THU039	5452960	22792	3988807	1559624
SUO060	3251793	12830	1760089	837717
SUO047	3610602	17110	3305365	1064935
BRZ046	4189059	15874	2606558	1114527
SUO061	3120512	10397	1698219	802289
SUO048	4982000	18099	3034307	1355427
BRZ047	3094630	11979	1877288	833289
WAL024	4963179	20777	4588745	1473783
SUO049	4191999	15111	2512293	1117070
LAN005	4627666	19585	3305502	1296362
THU056	4195438	17234	3347592	1254461
WAL040	6254014	21000	4396859	1694203
WAL041	5828148	20529	3970336	1556492
LAN022	4430278	17595	3202291	1239689
WAL042	2569995	11813	2776450	876748
SUO100	5746452	19423	3538352	1467898
SUO080	5054724	18017	2477500	1218012
BRZ066	1343662	5930	655728	323883
THU073	3344518	10310	2731648	640104
SUO101	5197648	21301	4574572	1614346
SUO081	3296073	10563	1266092	769029
SUO102	6343853	23320	4363219	1696074
SUO082	4075426	14857	1645048	962292
BRZ068	3514614	13347	2114348	917562
WAL045	6197306	28639	7280868	2189648
SUO083	935162	3982	303333	203144
SUO104	5000651	18768	4053308	1522514
SUO084	4689791	14877	2102406	1095728
LAN040	8189146	31463	5960587	2272441
BRZ083	6372800	23683	4222093	1677779
THU110	1484650	6197	1085332	418370
THU077	4597030	14076	2594978	1219396
SUO105	5004625	16145	3175618	1364262
LAN041	6112184	24168	4025309	1667818
BIE092	5982424	24956	3369561	1584718
THU111	3696063	16896	3688584	1208711
THU091	3547173	15315	2299545	980475
LAN042	7795234	26203	3948292	1944242
LAN029	608718	2107	254831	161827
THU079	4371019	17919	3057648	1158411
SUO120	3647866	13666	2686218	1042192
SUO087	5328545	21252	3957326	1514866
LAN043	6716532	24531	4744661	1920151
THU113	2894975	13222	1660795	760950
SUO108	1739733	10609	3289071	808815
SUO088	5131066	17121	3562682	1419350
LAN044	1968336	6796	792375	458492
BRZ107	4329124	24142	2766838	1154699
THU114	5276120	18192	3096564	1439279
SUO122	2850156	11236	2003101	803383
LAN045	1565905	7817	1079570	432551
BRZ108	635983	3296	478520	182100
SUO124	5665186	18970	3262888	1479594
LAN060	5182825	19677	3433853	1426070
LAN047	1767154	7670	1189092	490086
THU097	4993344	20192	3493369	1436340
SUO125	4794455	17339	3065262	1307297
LAN061	4010934	14803	2534720	830696
LAN048	1683426	5317	949952	280139
THU118	2859438	10366	1548687	751275
SUO126	5369073	18697	3398806	1426740
LAN062	2344505	7188	896941	415090
LAN049	3673318	9925	1427328	834956
THU119	2263861	9053	1800292	669344
THU099	4527522	17790	2856514	1195044
SUO127	6428737	21190	3956573	1695917
LAN063	3601691	12507	1759848	875866
LAN064	3274117	10158	1325472	765490
WAL084	4093235	15669	3984310	1273973
LAN065	4946346	17094	2469111	1250241
WAL086	4664161	19042	3734262	1359738
LAN067	6332221	21269	2977723	1585968
WAL088	5472924	20870	4362029	1594329
LAN102	3425240	11215	2568039	958523
LAN103	4489949	17609	3687623	1297337
LAN087	5043447	20021	3417616	1431536
LAN088	5042451	17942	3039390	1291273
LAN089	6694371	19410	3006809	1583365
THU173	404443	2646	1757668	343628
THU190	3259789	12604	2370153	942968
THU177	5075083	19191	4245362	1565520
THU179	3561691	12243	2358463	986117
BIE002	2739801	10711	1767853	742367
THU001	1080361	4170	486725	263771
THU002	3792864	13320	2560335	1018588
BIE004	2372647	8622	1337432	601868
THU197	3236750	13056	2357702	917723
SUO011	6306760	24069	4992215	1809015
BIE005	1363307	4661	586479	324254
THU198	2651496	10215	1638700	725222
THU004	2317949	7811	1244569	572844
SUO012	3121573	12131	2031605	886172
BIE006	793445	2764	357696	194263
BRZ011	4103650	16960	3034271	1197649
THU199	1370889	6643	684114	357274
THU005	3813340	14749	2420731	1018298
BIE007	2020320	7915	1133795	527461
BRZ013	3683104	13610	2791299	1047968
BIE008	1124283	3912	446454	265084
THU007	4903943	20219	3805935	1450160
BRZ014	1545598	5286	850647	410062
SUO016	9192217	32647	6029301	2458021
BRZ015	2694186	11237	1754275	735899
SUO030	6404076	27502	6073869	2061583
SUO031	1621323	4989	835136	264583
SUO019	7655932	28638	6365788	2224259
BRZ031	2355783	6630	1208772	379461
BRZ019	1859025	7590	1117921	497348
SUO034	5937124	18891	3208277	1485493
