Sample	Merged.Kept	Merged.Lost	Paired.Kept	Paired.Lost
BIE028	5103118	17666	3287621	1387237
BRZ033	1449492	4612	788330	244117
WAL010	7226632	30693	5807921	2109509
THU027	3320386	13719	2553098	963821
BRZ034	1874478	5514	1038159	304237
BIE044	2769602	9607	2293265	530964
BIE045	1169601	3557	476996	179386
WAL014	4941690	17516	3953527	1456166
BRZ052	5497080	21049	3488195	1488825
BRZ039	3274470	12334	1882358	793689
ZUR011	7228739	21152	3640681	1796576
WAL016	8404235	33651	6260124	2387746
BIE048	4900525	19651	3222838	1285985
WAL030	3466774	10622	1768783	666387
THU060	4222121	18596	3878583	1316309
BRZ054	4938181	17503	2878314	1303654
BIE049	2297464	9375	1481785	649216
WAL031	6219017	24238	4860317	1782197
THU061	3793408	22040	5915638	1586039
SUO056	5655180	20878	4055890	1224113
WAL033	6634009	24376	4301524	1854216
SUO058	3588495	11300	1885466	678145
BRZ070	4448409	16844	2494423	1170027
BRZ057	5928655	24181	4050174	1701645
SUO059	6449506	23173	4542321	1805223
BRZ071	2560480	10392	1390113	669283
ZUR018	5121706	18152	3382610	1400359
WAL036	5296865	24463	4966857	1734746
THU066	800866	3837	509022	217024
LAN017	6743939	22616	4823932	1809448
THU080	4390251	18809	3244943	1195935
THU067	5451818	19499	3865860	982968
LAN018	4979218	17698	3447605	1333723
THU081	3891396	14992	2750806	1095472
SUO076	5783528	19027	2614302	1429542
LAN019	7822933	31602	5236345	2151511
THU082	5606781	19043	3513002	1146273
SUO090	5413507	22614	4965584	1626744
SUO077	4777809	16212	2495061	1147037
LAN033	3092522	11889	1641368	776169
THU083	3832437	14422	2518255	811368
SUO111	527062	3310	1800092	363769
BRZ110	1368780	6333	721144	341316
THU104	4738047	18642	3550785	1342956
THU084	4464919	18848	3517329	1291096
SUO112	5572160	18512	3323155	1501034
SUO092	4993849	17620	3157343	1350315
BRZ111	1386620	5337	605887	337876
THU106	6030702	24125	4493644	1758404
THU086	4107748	16608	3310086	1200754
SUO114	5252230	20235	4202198	1601938
SUO094	7533619	23836	4493005	2056180
LAN050	6182181	18647	3078191	1588211
THU120	3364520	11852	2735518	964072
THU107	5156545	17497	3633231	1453523
THU087	4856277	20056	3353288	1365945
SUO115	6693509	24191	4673750	1914091
SUO095	106970	379	34267	25495
LAN038	4544409	18257	3098365	1279234
BRZ114	3370702	12579	1978386	901077
THU108	6373292	24514	4178959	1725743
SUO116	4971866	19111	3793341	1424411
LAN052	2315533	11115	1474182	602720
LAN039	6760824	27909	4879728	1940283
BRZ115	1642175	7326	1000989	449057
THU109	4758245	21032	4519919	1502939
SUO117	3439100	13120	2281116	945254
SUO097	2866859	8757	1917797	509370
SUO118	4340877	15527	3133103	1230641
THU124	1982367	7854	1481001	555907
SUO119	5728730	22142	4093338	1635988
SUO099	4123152	14479	3473248	1208886
BRZ099	4031586	15389	3243186	1150375
THU127	3609160	15351	3178720	1112875
LAN071	4978718	19797	3870602	1467166
WAL078	6813035	23834	4580934	1906023
THU128	4874305	19891	4253429	1495232
LAN072	3909514	13747	2535442	1032390
LAN059	5705753	20413	3649777	1578856
WAL079	4189212	16278	3366803	1242541
THU143	2493122	9474	1606388	685337
LAN074	5643590	19969	3608566	1548199
LAN090	4842692	20748	4488715	1522414
LAN111	3202227	13618	2904031	993212
LAN092	4632194	18033	3301804	1305477
LAN113	3149193	11985	2381785	898245
LAN093	3954769	19045	4866250	1436684
LAN114	4790915	16300	3264862	1326057
THU164	5011197	18973	3941319	1478487
LAN115	6328458	23514	4639488	1812448
LAN095	6157373	28701	5489270	1928667
THU165	2875287	14303	3527566	1036692
LAN130	3611921	12170	2199564	976619
LAN117	1163268	6074	1586349	438465
LAN097	5967357	17996	2958927	1521810
175600	5805631	20834	4453450	1635717
175601	3024188	9394	2266766	568550
175602	2520620	8381	2029968	493994
175603	4713409	16038	3621988	893760
175604	5952602	21630	4246694	1626044
175605	5470435	20773	4314882	1550297
175606	7708167	27067	5383416	2012928
175607	4768840	16080	3325480	1347299
175608	4552906	16302	3149090	1292389
175609	5530694	19914	3994436	1585014
175610	7252209	21623	4461801	1478066
175611	5961520	19899	4107754	1286773
175612	6467330	19715	4163161	1337004
175613	6535588	21925	4269545	1751322
175614	6244427	21990	4423728	1741815
175615	6795684	23757	4667691	1892693
175616	7127045	24869	4860901	2003913
175617	6238366	22924	4543362	1824367
175618	8200690	25632	5147760	2207247
175619	7139819	23598	4953372	2041406
175620	6646178	19828	3719974	1692912
175621	5668696	21486	4954316	1720528
