        hetero_est  error_est
THU080    0.004130   0.002406
THU081    0.004184   0.002402
THU082    0.004580   0.001920
THU083    0.004993   0.001936
THU084    0.004333   0.002524
THU086    0.004225   0.002482
THU087    0.004303   0.002390
THU091    0.005532   0.002460
THU097    0.004281   0.002458
THU099    0.005042   0.002272
THU104    0.004095   0.002400
THU106    0.004031   0.002422
THU107    0.003799   0.002401
THU108    0.004241   0.002308
THU109    0.003562   0.002560
THU110    0.003712   0.002337
THU111    0.003856   0.002712
THU113    0.005155   0.002249
THU114    0.007852   0.002235
THU118    0.004656   0.002206
THU119    0.003738   0.002522
THU120    0.003990   0.002301
THU124    0.004022   0.002388
THU127    0.004312   0.002595
THU128    0.004320   0.002603
THU143    0.004604   0.002294
THU164    0.004742   0.002522
THU165    0.003693   0.002839
THU168    0.004438   0.002438
THU173    0.003332   0.003453
THU177    0.004292   0.002573
THU179    0.004181   0.002360
THU182    0.004500   0.002019
THU183    0.004271   0.002445
THU185    0.004610   0.002268
THU187    0.004772   0.002085
THU190    0.004171   0.002352
THU197    0.004794   0.002350
THU198    0.004515   0.002335
THU199    0.005544   0.002280
WAL003    0.004395   0.002578
WAL004    0.004525   0.002432
WAL006    0.004969   0.002643
WAL007    0.004468   0.002738
WAL009    0.004286   0.002715
WAL010    0.004792   0.002578
WAL014    0.004342   0.002531
WAL016    0.004719   0.002469
WAL021    0.003606   0.001951
WAL022    0.004096   0.002477
WAL024    0.003999   0.002494
WAL030    0.003734   0.001706
WAL031    0.003969   0.002444
WAL033    0.004062   0.002300
WAL036    0.003999   0.002686
WAL040    0.004096   0.002323
WAL041    0.004013   0.002293
WAL042    0.003809   0.002663
WAL045    0.004141   0.002711
WAL078    0.005067   0.002475
WAL079    0.004461   0.002610
WAL084    0.003836   0.002579
WAL086    0.004240   0.002589
WAL088    0.004352   0.002506
ZUR011    0.006093   0.001993
ZUR018    0.004555   0.002291
