  loading Assembly: assem2
  from saved path: ~/cophyhopa/results/2022-04-22/assem2.json

Summary stats of Assembly assem2
------------------------------------------------
        state  reads_raw  ...  error_est  reads_consens
SUO016      5   17712186  ...   0.002296          80010
SUO019      5   16274617  ...   0.002466          79143
SUO020      5   11612931  ...   0.002477          73155
SUO022      5    5026595  ...   0.002491          60295
SUO023      5    7548562  ...   0.002442          71163
SUO027      5    8541838  ...   0.002564          70648
SUO030      5   14567030  ...   0.002548          75580
SUO031      5    2726031  ...   0.001629          57792
SUO034      5   10649785  ...   0.002056          70583
SUO043      5   13428388  ...   0.002249          74325
SUO047      5    7998012  ...   0.002473          72476
SUO048      5    9389833  ...   0.002297          71817
SUO049      5    7836473  ...   0.002277          68849
SUO056      5   10956061  ...   0.001954          74966
SUO058      5    6163406  ...   0.001730          64938
SUO059      5   12820223  ...   0.002327          74645
SUO060      5    5862429  ...   0.002233          62221
SUO061      5    5631417  ...   0.002235          62086
SUO076      5    9846399  ...   0.002100          66134
SUO077      5    8436119  ...   0.002174          68025
SUO080      5    8768253  ...   0.002078          66715
SUO081      5    5341757  ...   0.001953          56576
SUO082      5    6697623  ...   0.001975          61701
SUO083      5    1445621  ...   0.001958          37569
SUO084      5    7902802  ...   0.002057          62638
SUO087      5   10821989  ...   0.002339          74114
SUO088      5   10130219  ...   0.002298          71698
SUO090      5   12028449  ...   0.002460          74519
SUO092      5    9519127  ...   0.002271          71928
SUO094      5   14106640  ...   0.002307          75094
SUO095      5     167111  ...   0.001701           7047
SUO097      5    5302783  ...   0.001739          68281
SUO099      5    8819765  ...   0.002350          72141
SUO100      5   10772125  ...   0.002244          72565
SUO101      5   11407867  ...   0.002624          74697
SUO102      5   12426466  ...   0.002283          74333
SUO104      5   10595241  ...   0.002439          73970
SUO105      5    9560650  ...   0.002239          71974
SUO108      5    5848228  ...   0.003054          70477
SUO111      5    2694233  ...   0.003179          68400
SUO112      5   10414861  ...   0.002316          71516
SUO114      5   11076601  ...   0.002554          74592
SUO115      5   13305541  ...   0.002420          76001
SUO116      5   10208729  ...   0.002445          74421
SUO117      5    6678590  ...   0.002320          69142
SUO118      5    8720148  ...   0.002364          71754
SUO119      5   11480198  ...   0.002493          74208
SUO120      5    7389942  ...   0.002428          70297
SUO122      5    5667876  ...   0.002368          66845
SUO124      5   10426638  ...   0.002285          71233
SUO125      5    9184353  ...   0.002394          70591
SUO126      5   10213316  ...   0.002338          71717
SUO127      5   12102417  ...   0.002237          73334
THU001      5    1835027  ...   0.002168          42382
THU002      5    7385107  ...   0.002331          68222
THU004      5    4143173  ...   0.002125          58053
THU005      5    7267118  ...   0.002437          69457
THU007      5   10180257  ...   0.002568          75557
THU010      5    5165368  ...   0.002318          61378
THU011      5   10923873  ...   0.002397          74703
THU014      5    7687614  ...   0.002528          72326
THU019      5   10591584  ...   0.002619          73901
THU027      5    6851024  ...   0.002557          67028
THU038      5   18777197  ...   0.002450          81849
THU039      5   11024183  ...   0.002508          74129
THU056      5    8814725  ...   0.002586          73305
THU060      5    9435609  ...   0.002663          76303
THU061      5   11317125  ...   0.002915          74771
THU066      5    1530749  ...   0.002622          16467
THU067      5   10320145  ...   0.001980          74261
THU073      5    6726580  ...   0.001876          74742
THU077      5    8425480  ...   0.002196          71629
THU079      5    8604997  ...   0.002332          73413
THU080      5    8849938  ...   0.002406          73967
THU081      5    7752666  ...   0.002402          71397
THU082      5   10285099  ...   0.001920          75122
THU083      5    7176482  ...   0.001936          71693
THU084      5    9292192  ...   0.002524          73008
THU086      5    8635196  ...   0.002482          72233
THU087      5    9595566  ...   0.002390          71482
THU091      5    6842508  ...   0.002460          66372
THU097      5    9943245  ...   0.002458          71856
THU099      5    8596870  ...   0.002272          71668
THU104      5    9650430  ...   0.002400          72180
THU106      5   12306875  ...   0.002422          74173
THU107      5   10260796  ...   0.002401          72668
THU108      5   12302508  ...   0.002308          73881
THU109      5   10802135  ...   0.002560          72897
THU110      5    2994549  ...   0.002337          60213
THU111      5    8610254  ...   0.002712          72733
THU113      5    5329942  ...   0.002249          61406
THU114      5    9830155  ...   0.002235          76881
THU118      5    5169766  ...   0.002206          61720
THU119      5    4742550  ...   0.002522          65728
THU120      5    7075962  ...   0.002301          70897
THU124      5    4027129  ...   0.002388          62391
THU127      5    7916106  ...   0.002595          72643
THU128      5   10642857  ...   0.002603          75175
THU143      5    4794321  ...   0.002294          63598
THU164      5   10449976  ...   0.002522          76126
THU165      5    7453848  ...   0.002839          72736
THU168      5    7850032  ...   0.002438          72929
THU173      5    2508385  ...   0.003453          65795
THU177      5   10905156  ...   0.002573          75313
THU179      5    6918514  ...   0.002360          69545
THU182      5    7339528  ...   0.002019          70966
THU183      5    9168287  ...   0.002445          73273
THU185      5   11307809  ...   0.002268          76185
THU187      5    9711263  ...   0.002085          74592
THU190      5    6585514  ...   0.002352          69834
THU197      5    6525231  ...   0.002350          69134
THU198      5    5025633  ...   0.002335          63094
THU199      5    2418920  ...   0.002280          30107
WAL003      5   14669974  ...   0.002578          79306
WAL004      5   16101902  ...   0.002432          81376
WAL006      5   20490556  ...   0.002643          83321
WAL007      5   10462632  ...   0.002738          74465
WAL009      5   13879273  ...   0.002715          77067
WAL010      5   15174755  ...   0.002578          80922
WAL014      5   10368899  ...   0.002531          76523
WAL016      5   17085756  ...   0.002469          78121
WAL021      5    3901190  ...   0.001951          69674
WAL022      5   10816719  ...   0.002477          73765
WAL024      5   11046484  ...   0.002494          76112
WAL030      5    5912566  ...   0.001706          64425
WAL031      5   12885769  ...   0.002444          74772
WAL033      5   12814125  ...   0.002300          74667
WAL036      5   12022931  ...   0.002686          73424
WAL040      5   12366076  ...   0.002323          73318
WAL041      5   11375505  ...   0.002293          73002
WAL042      5    6235006  ...   0.002663          70333
WAL045      5   15696461  ...   0.002711          77126
WAL078      5   13323826  ...   0.002475          75906
WAL079      5    8814834  ...   0.002610          71245
WAL084      5    9367187  ...   0.002579          73191
WAL086      5    9777203  ...   0.002589          74841
WAL088      5   11450152  ...   0.002506          76163
ZUR011      5   12687148  ...   0.001993          78464
ZUR018      5    9922827  ...   0.002291          73110

[280 rows x 10 columns]


Full stats files
------------------------------------------------
step 1: None
step 2: /gata/mar/cophyhopa/results/2022-04-01/both_edits/s2_rawedit_stats.txt
step 3: ./assem2_clust_0.93/s3_cluster_stats.txt
step 4: ./assem2_clust_0.93/s4_joint_estimate.txt
step 5: ./assem2_consens/s5_consens_stats.txt
step 6: None
step 7: None


