        reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
LAN039   13608744                 300044                 194209                7187848                5232368                 40679                      2071             13565994
LAN040   16453637                 372345                 258954                8401835                6153952                 48609                      2507             16402521
LAN041   11829479                 268178                 181215                6140545                4464159                 35190                      1893             11792396
LAN042   13713971                 308266                 188352                7045568                5140299                 40732                      1857             13671382
LAN043   13405875                 295279                 210143                7086024                5134721                 40198                      1938             13363739
LAN044    3225999                  70755                  47370                1683196                1299454                  9373                       456              3216170
LAN045    3085843                  69451                  41680                1574951                1145175                  9112                       404              3076327
LAN047    3454002                  77082                  47020                1794888                1337587                 10277                       591              3443134
LAN048    2918834                  65666                  45315                 946306                 787005                  5095                       282              2913457
LAN049    5945527                 126742                  83576                3046991                2215153                 17114                       783              5927630
LAN050   10867230                 241125                 159498                5743802                4181932                 32743                      1555             10832932
LAN052    4403550                  96839                  66036                2198833                1642256                 12605                       645              4390300
LAN059   10954799                 237768                 160876                5799311                3870903                 32799                      1451             10920549
LAN060   10062425                 218873                 147503                5204381                3596961                 29735                      1257             10031433
LAN061    7391153                 161609                 117752                2840081                2143327                 18399                       757              7371997
LAN062    3663724                  79425                  55599                1402578                1001690                  8995                       296              3654433
LAN063    6249912                 137759                  89804                3146943                2210895                 18105                       713              6231094
LAN064    5375237                 116906                  69781                2799745                1941746                 15655                       629              5358953
LAN065    8682792                 187211                 138847                4543923                3111346                 25762                      1057              8655973
LAN067   10917181                 237117                 186332                5761486                4104456                 33164                      1388             10882629
LAN071   10336283                 222937                 142205                5492081                3673223                 31617                      1420             10303246
LAN072    7491093                 160543                 107471                3765588                2664251                 22090                       883              7468120
LAN074   10820324                 232052                 158195                5711123                3810061                 31978                      1505             10786841
LAN087    9912620                 212933                 137319                5287504                3497815                 29613                      1298              9881709
LAN088    9391056                 204101                 143123                4695176                3245382                 27650                      1216              9362190
LAN089   11303955                 240322                 166794                5696863                4058180                 32928                      1424             11269603
LAN090   10874569                 228015                 154936                5534707                3898987                 31636                      1502             10841431
LAN092    9257508                 205852                 128726                4796268                3266980                 27424                      1242              9228842
LAN093   10276748                 218140                 143951                5226890                3717456                 30574                      1364             10244810
LAN095   13604011                 292915                 182289                7092725                4784741                 40907                      1873             13561231
LAN097   10466090                 228948                 140568                5534358                4096598                 31487                      1477             10433126
LAN098    2815433                  61193                  41462                1459517                1067993                  8306                       414              2806713
LAN099    9522443                 207688                 137704                4851923                3477007                 27967                      1308              9493168
LAN102    6963017                 152715                 100305                3456654                2423664                 21053                       917              6941047
LAN103    9492518                 205251                 138937                4717774                3250168                 28620                      1155              9462743
LAN111    7113088                 154037                 102037                3638321                2732182                 21266                      1120              7090702
LAN113    6441208                 137295                 104239                3266544                2506353                 18699                       969              6421540
LAN114    9398134                 203561                 138086                4859685                3511978                 27205                      1428              9369501
LAN115   12803908                 273096                 189832                6643587                4692567                 37883                      1837             12764188
LAN117    3194156                  69664                  45010                1580050                1173928                  9410                       468              3184278
LAN119    9189276                 199537                 140283                3551774                2740816                 22667                      1037              9165572
LAN130    6800274                 148501                 101591                3615139                2643865                 20444                      1020              6778810
LAN131    8725095                 188726                 127357                4485087                3260182                 25788                      1219              8698088
LAN132    7771679                 168792                 115816                3979858                2858832                 23570                      1105              7747004
LAN133    7028625                 151583                 107602                2785898                2179845                 16997                       844              7010784
LAN134   10647914                 226819                 157424                5463910                4082550                 31329                      1450             10615135
LAN135   12602140                 260501                 183889                6415668                4550879                 36900                      1596             12563644
SUO001   11710757                 262867                 175738                6200787                4287848                 35214                      1618             11673925
SUO002    6424504                 154612                  96604                3242394                2316181                 19083                       991              6404430
SUO003    8367645                 194808                 127095                4164557                2863465                 25323                      1051              8341271
SUO004   13322541                 302217                 201860                6915954                5145208                 38812                      2001             13281728
SUO005   10063024                 223568                 144385                5214927                3654376                 30010                      1462             10031552
SUO006    2909947                  66738                  41930                1516896                1074256                  8602                       357              2900988
SUO009   10192487                 231956                 148931                5199858                3716400                 29547                      1487             10161453
SUO011   13132059                 294163                 187938                6777233                4719342                 39195                      1907             13090957
SUO012    6051481                 133356                  85012                3270627                2264999                 18063                       848              6032570
SUO016   17712186                 398189                 295170                9016473                6412800                 52009                      2454             17657723
SUO019   16274617                 364943                 245760                8262066                5916656                 48661                      2319             16223637
SUO020   11612931                 257454                 165722                5900930                4204296                 34617                      1522             11576792
SUO022    5026595                 115091                  82333                2712261                2283154                 14528                      1175              5010892
SUO023    7548562                 166583                 114636                3952269                2957451                 22663                      1144              7524755
SUO027    8541838                 189460                 121777                4382246                3186103                 24964                      1294              8515580
SUO030   14567030                 320674                 220395                7674997                5186099                 44249                      2178             14520603
SUO031    2726031                  61719                  42076                 908965                 756423                  4739                       277              2721015
SUO034   10649785                 227252                 154585                5431702                3795903                 31249                      1396             10617140
SUO043   13428388                 286597                 219628                6539259                4763861                 40036                      1717             13386635
SUO047    7998012                 173980                 114916                3813072                2744714                 23459                       999              7973554
SUO048    9389833                 206721                 135599                4957911                3370441                 28032                      1228              9360573
SUO049    7836473                 170550                 112488                4068814                2823957                 22939                       943              7812591
SUO056   10956061                 240017                 162373                4144484                3095736                 26905                      1066             10928090
SUO058    6163406                 135964                  91585                2334480                1683894                 15406                       556              6147444
SUO059   12820223                 279696                 191706                6519824                4558589                 37812                      1632             12780779
SUO060    5862429                 131553                  81570                3110612                2149931                 17342                       801              5844286
SUO061    5631417                 126143                  80541                2985907                2066144                 16720                       790              5613907
SUO076    9846399                 226752                 139777                5231792                3752160                 29574                      1407              9815418
SUO077    8436119                 183229                 127867                4236970                2920265                 24485                      1038              8410596
SUO080    8768253                 193730                 127596                4416677                3089730                 25542                      1032              8741679
SUO081    5341757                 115473                  80239                2863611                1921903                 16195                       632              5324930
SUO082    6697623                 147730                  96379                3578808                2425069                 19536                       872              6677215
SUO083    1445621                  31732                  19746                 732537                 545138                  4157                       192              1441272
SUO084    7902802                 172769                 112580                3983442                2756507                 23121                       945              7878736
SUO087   10821989                 235805                 157753                5535782                3908083                 31311                      1408             10789270
SUO088   10130219                 221354                 146093                5256865                3557350                 30026                      1406             10098787
SUO090   12028449                 259964                 169552                5928137                4143195                 35226                      1518             11991705
SUO092    9519127                 203994                 140103                4900832                3538877                 27571                      1312              9490244
SUO094   14106640                 303326                 207342                7437882                5409207                 42304                      2029             14062307
SUO095     167111                   3504                   2668                  91170                  71149                   474                        31               166606
SUO097    5302783                 114996                  77085                1662475                1378261                  9273                       455              5293055
SUO099    8819765                 193343                 130332                4382005                3033087                 26678                      1176              8791911
SUO100   10772125                 232733                 158971                5222450                3861502                 31530                      1496             10739099
SUO101   11407867                 249874                 169650                5877503                4444923                 33553                      1805             11372509
SUO102   12426466                 265656                 181760                6029510                4475439                 36638                      1712             12388116
SUO104   10595241                 228357                 152597                5535148                3931670                 31612                      1531             10562098
SUO105    9560650                 206498                 140741                4995556                3609292                 28355                      1411              9530884
SUO108    5848228                 125885                  84646                2924300                2172571                 17012                       911              5830305
SUO111    2694233                  60897                  39532                1347908                1041957                  7821                       458              2685954
SUO112   10414861                 230127                 154465                5514135                4122141                 30809                      1575             10382477
SUO114   11076601                 242874                 166111                5868812                4288644                 33505                      1665             11041431
SUO115   13305541                 289431                 195490                7035104                5041569                 39499                      1864             13264178
SUO116   10208729                 222426                 147573                5177231                3819546                 29770                      1436             10177523
SUO117    6678590                 146939                  97623                3460298                2581911                 19480                      1043              6658067
SUO118    8720148                 189967                 131302                4454194                3188794                 25904                      1203              8693041
SUO119   11480198                 252091                 167893                5950051                4285857                 33835                      1679             11444684
SUO120    7389942                 159873                 107431                3790870                2703881                 21947                      1031              7366964
SUO122    5667876                 125218                  81434                2930353                2037883                 17047                       765              5650064
SUO124   10426638                 225954                 150125                5428455                4036031                 30989                      1450             10394199
SUO125    9184353                 199464                 134022                4773238                3568667                 27533                      1398              9155422
SUO126   10213316                 220713                 146294                5299572                3911547                 30264                      1555             10181497
SUO127   12102417                 259091                 177256                6204065                4391923                 35260                      1646             12065511
THU001    1835027                  41977                  29320                 989981                 740655                  5322                       327              1829378
THU002    7385107                 163158                 108744                3792852                2657414                 21936                      1032              7362139
THU004    4143173                  97172                  65228                2121355                1512026                 12322                       652              4130199
THU005    7267118                 160636                 114794                3775469                2695586                 21375                      1006              7244737
THU007   10180257                 226111                 156280                5353177                4028723                 30628                      1543             10148086
THU010    5165368                 115987                  80960                2701169                2002722                 14979                       878              5149511
THU011   10923873                 237281                 168743                5603244                3856287                 32397                      1537             10889939
THU014    7687614                 169937                 116604                3935756                2800858                 22585                      1057              7663972
THU019   10591584                 230968                 159743                5547661                4093215                 31614                      1654             10558316
THU027    6851024                 156798                 103132                3639247                2703558                 20884                      1237              6828903
THU038   18777197                 412353                 308266                9696014                7035219                 55469                      2807             18718921
THU039   11024183                 241032                 162816                5702565                4072733                 33474                      1613             10989096
THU056    8814725                 191027                 134039                4574486                3259378                 26856                      1242              8786627
THU060    9435609                 204470                 145383                4887458                3802505                 27983                      1484              9406142
THU061   11317125                 238868                 169116                5773545                4102910                 34020                      1612             11281493
THU066    1530749                  36694                  27373                 835935                 712397                  4436                       382              1525931
THU067   10320145                 232173                 153957                3203548                2836267                 18365                       952             10300828
THU073    6726580                 149633                 108782                2150784                1810440                 12403                       620              6713557
THU077    8425480                 177210                 134838                4443103                3243965                 24824                      1247              8399409
THU079    8604997                 189783                 130735                4153138                2937354                 25557                      1002              8578438
THU080    8849938                 190549                 135695                4281845                3012292                 26130                      1036              8822772
THU081    7752666                 167069                 115455                4023011                2834084                 22810                      1055              7728801
THU082   10285099                 224198                 157158                3913247                2847587                 25390                       952             10258757
THU083    7176482                 163925                 116326                2815256                2141902                 17734                       774              7157974
