chr	sp	fish	MinCov	MaxCov	AverCov	SDCov
LR778280.1	C.acrinasus	THU002	6	690.396	97.4140881875792	108.777220358237
LR778281.1	C.acrinasus	THU002	6	1776.25	82.3297959560171	86.3855589063936
LR778282.1	C.acrinasus	THU002	6	1266.88	84.7093786091436	82.8829145831812
LR778283.1	C.acrinasus	THU002	6	444.089	81.5374025631769	76.0497073503533
LR778284.1	C.acrinasus	THU002	6	1734.76	119.532139827942	137.765878202154
LR778285.1	C.acrinasus	THU002	6	418.422	83.449087702407	76.9183977755899
LR778286.1	C.acrinasus	THU002	6	909.377	79.6347930945122	82.514948299173
LR778287.1	C.acrinasus	THU002	6	703.916	96.483331226138	105.939574653003
LR778288.1	C.acrinasus	THU002	6	723.386	85.7874272679245	78.7659006844807
LR778289.1	C.acrinasus	THU002	6	1019.25	89.5684572328379	88.9478795377579
LR778290.1	C.acrinasus	THU002	6	1453.41	115.733455681592	140.838357364644
LR778291.1	C.acrinasus	THU002	6	525.154	83.2240249946638	78.7836105031491
LR778292.1	C.acrinasus	THU002	6	233.523	81.93837	70.2839002941669
LR778253.1	C.acrinasus	THU004	6	3936.5	52.1778187583893	89.191135553415
LR778254.1	C.acrinasus	THU004	6	232.236	48.7718067936227	45.2033808091153
LR778255.1	C.acrinasus	THU004	6	200.422	47.337425431338	42.953837771335
LR778256.1	C.acrinasus	THU004	6	697.554	52.5532516632274	55.076367339619
LR778257.1	C.acrinasus	THU004	6	261.318	48.8671728213689	45.8189622888477
LR778258.1	C.acrinasus	THU004	6	264.982	49.2850332904884	44.7018781038785
LR778259.1	C.acrinasus	THU004	6	367.314	49.5145818133935	47.9429776723423
LR778260.1	C.acrinasus	THU004	6	332.167	49.9933575259989	46.4503362303603
LR778261.1	C.acrinasus	THU004	6	2185.34	50.5627819895288	66.0383070512776
LR778262.1	C.acrinasus	THU004	6	231.136	49.3151883968542	45.2301288638111
LR778263.1	C.acrinasus	THU004	6	535.698	51.1805381006218	45.9284730952458
LR778264.1	C.acrinasus	THU004	6	256.378	48.2987388406593	45.4036094046865
LR778265.1	C.acrinasus	THU004	6	2510.43	52.2970104815032	75.5644277807116
LR778266.1	C.acrinasus	THU004	6	2017.29	51.1155710156833	71.0974013765813
LR778267.1	C.acrinasus	THU004	6	310.861	48.4154282270916	45.2438178776886
LR778268.1	C.acrinasus	THU004	6	336.46	48.6586630838132	45.8689963204027
LR778269.1	C.acrinasus	THU004	6	388.89	49.7690598942598	47.5144675001248
LR778270.1	C.acrinasus	THU004	6	358.369	51.6837851733515	48.8408796187207
LR778271.1	C.acrinasus	THU004	6	876.192	49.9533826380012	49.5908336828146
LR778272.1	C.acrinasus	THU004	6	241.967	51.2602750345695	45.5183626828866
LR778273.1	C.acrinasus	THU004	6	386.966	49.7197474661922	45.4115217381096
LR778274.1	C.acrinasus	THU004	6	815.259	75.1284916566866	85.7291730381325
LR778275.1	C.acrinasus	THU004	6	447.041	50.5075403521127	48.3243623902631
LR778276.1	C.acrinasus	THU004	6	341.241	50.2356234328358	45.9821343614714
LR778277.1	C.acrinasus	THU004	6	227.122	49.7043166261615	46.7606773760108
LR778278.1	C.acrinasus	THU004	6	261.022	48.4426439971551	45.3969991297415
LR778279.1	C.acrinasus	THU004	6	240.064	48.8203591618497	46.1852008354862
LR778280.1	C.acrinasus	THU004	6	509.935	59.6252277419355	68.6821581183193
LR778281.1	C.acrinasus	THU004	6	1950.03	51.378101391863	68.4828029969556
LR778282.1	C.acrinasus	THU004	6	446.23	49.1039426173021	46.3660536912728
LR778283.1	C.acrinasus	THU004	6	366.544	49.1716778160112	44.4336519270169
LR778284.1	C.acrinasus	THU004	6	973.653	69.9239805191874	83.4698560553961
LR778285.1	C.acrinasus	THU004	6	268.181	49.8836986761033	45.5556569097471
LR778286.1	C.acrinasus	THU004	6	610.905	49.1699900630063	51.1488611367665
LR778287.1	C.acrinasus	THU004	6	440.712	56.8551098584513	61.7560631399486
LR778288.1	C.acrinasus	THU004	6	391.676	51.8552098371894	47.5375657951375
LR778289.1	C.acrinasus	THU004	6	339.797	53.3753042787682	52.1088909797643
LR778290.1	C.acrinasus	THU004	6	834.357	68.4934331704669	87.1048212200914
LR778291.1	C.acrinasus	THU004	6	302.397	49.1940604823529	48.1035117558053
LR778292.1	C.acrinasus	THU004	6	134.941	42.04926325	35.8083942963507
LR778253.1	C.acrinasus	THU038	6	6062.34	162.685547896689	202.447172894309
LR778254.1	C.acrinasus	THU038	6	700.045	152.060281483313	159.857049180431
LR778255.1	C.acrinasus	THU038	6	742.754	152.638116411483	163.20415446156
LR778256.1	C.acrinasus	THU038	6	1415.5	165.494865563299	187.232661829301
LR778257.1	C.acrinasus	THU038	6	1556.88	154.52668177305	166.749694694884
LR778258.1	C.acrinasus	THU038	6	972.645	155.853747542067	163.387076456214
LR778259.1	C.acrinasus	THU038	6	1338.57	153.196279177312	174.78862971017
LR778260.1	C.acrinasus	THU038	6	1243.8	156.403435834301	166.650583198276
LR778261.1	C.acrinasus	THU038	6	2271.56	160.293567901328	169.358298833425
LR778262.1	C.acrinasus	THU038	6	1339.7	158.926291889126	167.483165432213
LR778263.1	C.acrinasus	THU038	6	1627.78	158.620592676609	165.009948965841
LR778264.1	C.acrinasus	THU038	6	915.75	153.182566725078	159.749616756743
LR778265.1	C.acrinasus	THU038	6	2393.45	158.505187460317	174.114906735382
LR778266.1	C.acrinasus	THU038	6	4870.76	159.693063609807	201.232000855037
LR778267.1	C.acrinasus	THU038	6	1837.5	156.245355401701	170.032554063144
LR778268.1	C.acrinasus	THU038	6	1125.16	155.061330982102	163.971530238435
LR778269.1	C.acrinasus	THU038	6	1523.55	163.842971360132	176.44499590499
LR778270.1	C.acrinasus	THU038	6	1606.88	159.498315899281	172.943133305844
LR778271.1	C.acrinasus	THU038	6	2878.63	155.252726214025	172.708902501397
LR778272.1	C.acrinasus	THU038	6	787.269	162.135457329193	166.18107664016
LR778273.1	C.acrinasus	THU038	6	826.458	154.604764434698	165.07989853855
LR778274.1	C.acrinasus	THU038	6	2703.82	233.788244298368	307.899259692344
LR778275.1	C.acrinasus	THU038	6	1246.69	160.070611223197	174.119790666756
LR778276.1	C.acrinasus	THU038	6	1884.06	157.842862534585	168.684772147825
LR778277.1	C.acrinasus	THU038	6	1460.35	159.352876765	170.890589470748
LR778278.1	C.acrinasus	THU038	6	2409.96	155.967561752629	171.816243956205
LR778279.1	C.acrinasus	THU038	6	838.138	152.027539833165	163.797825458492
LR778280.1	C.acrinasus	THU038	6	1671.73	180.19733461039	229.060416855657
LR778281.1	C.acrinasus	THU038	6	2413.71	155.822989531873	172.571149507749
LR778282.1	C.acrinasus	THU038	6	2836.11	156.65211584463	173.915075147158
LR778283.1	C.acrinasus	THU038	6	806.13	155.360595509305	163.718050020452
LR778284.1	C.acrinasus	THU038	6	2245.04	209.890639056204	275.010589901523
LR778285.1	C.acrinasus	THU038	6	759.525	159.478743898507	167.165720855936
LR778286.1	C.acrinasus	THU038	6	2773.3	153.739912693979	177.349536612977
LR778287.1	C.acrinasus	THU038	6	1721.56	177.753087104338	219.48026092504
LR778288.1	C.acrinasus	THU038	6	763.847	157.739980886377	165.445330659745
LR778289.1	C.acrinasus	THU038	6	1350.15	166.928468531746	187.560975740573
LR778290.1	C.acrinasus	THU038	6	5584.41	208.477013975535	327.235252811097
LR778291.1	C.acrinasus	THU038	6	1567.22	159.311979889737	179.229538118705
LR778292.1	C.acrinasus	THU038	6	589.119	144.614568333333	157.668173521591
LR778253.1	C.acrinasus	THU067	6	2976.07	93.6418977646396	113.188169400615
LR778254.1	C.acrinasus	THU067	6	346.71	85.7232975192802	82.116923036633
LR778255.1	C.acrinasus	THU067	6	358.951	84.3003695031447	81.9134939858503
LR778256.1	C.acrinasus	THU067	6	768.491	91.9413462002413	95.6058614014439
LR778257.1	C.acrinasus	THU067	6	591.826	86.7238293695921	86.1434821328231
LR778258.1	C.acrinasus	THU067	6	448.65	89.0113642059008	85.2443194303124
LR778259.1	C.acrinasus	THU067	6	580.224	86.9064119772481	90.523489890413
LR778260.1	C.acrinasus	THU067	6	904.914	89.5731452612245	87.6367814989068
LR778261.1	C.acrinasus	THU067	6	1981.29	89.9103420617333	92.3527483132355
LR778262.1	C.acrinasus	THU067	6	471.603	85.8833727811951	82.4448340954638
LR778263.1	C.acrinasus	THU067	6	859.778	89.1555231870386	85.7807279997802
LR778264.1	C.acrinasus	THU067	6	364.961	86.3830744705882	83.2587385851358
LR778265.1	C.acrinasus	THU067	6	1238.5	90.3853205613577	88.9239323177756
LR778266.1	C.acrinasus	THU067	6	3272.88	90.8382210946908	114.204994110377
LR778267.1	C.acrinasus	THU067	6	869.12	87.3134670192783	85.7374818773082
LR778268.1	C.acrinasus	THU067	6	372.405	88.431192318204	83.6846337698698
LR778269.1	C.acrinasus	THU067	6	603.428	93.1622311247086	90.4818915931085
LR778270.1	C.acrinasus	THU067	6	823.356	90.186767187343	88.3624256477971
LR778271.1	C.acrinasus	THU067	6	1602.6	88.5375950171233	90.0899699411988
LR778272.1	C.acrinasus	THU067	6	402.614	91.7418289084181	85.8184934754183
LR778273.1	C.acrinasus	THU067	6	353.653	87.7956283822772	84.2711438439124
LR778274.1	C.acrinasus	THU067	6	1544.11	124.964380846906	156.783241084601
LR778275.1	C.acrinasus	THU067	6	722.883	88.5168309733607	87.9050037391201
LR778276.1	C.acrinasus	THU067	6	713.006	88.9545750233281	86.8536067559718
LR778277.1	C.acrinasus	THU067	6	778.763	89.4145334801061	87.2840999644172
LR778278.1	C.acrinasus	THU067	6	784.529	87.0231634593176	85.7455700435689
LR778279.1	C.acrinasus	THU067	6	613.422	85.61937626193	84.5504759797256
LR778280.1	C.acrinasus	THU067	6	846.542	101.963611733193	119.828020187952
LR778281.1	C.acrinasus	THU067	6	1402.46	87.6455439802289	89.9617371490875
LR778282.1	C.acrinasus	THU067	6	1429.92	87.4386063149351	89.3652717219154
LR778283.1	C.acrinasus	THU067	6	580.599	88.4461036373057	85.1209145946515
LR778284.1	C.acrinasus	THU067	6	1285.36	118.300745878489	145.507517683779
LR778285.1	C.acrinasus	THU067	6	622.368	89.1856466687345	86.4711168382342
LR778286.1	C.acrinasus	THU067	6	2273.93	86.1178379294872	108.405458046237
LR778287.1	C.acrinasus	THU067	6	1262.86	101.550792879067	116.163266384579
LR778288.1	C.acrinasus	THU067	6	459.233	90.4145463114231	84.7156204970766
LR778289.1	C.acrinasus	THU067	6	649.574	95.7404568540012	98.3153345601662
LR778290.1	C.acrinasus	THU067	6	1802.56	113.751041905138	154.269671314413
LR778291.1	C.acrinasus	THU067	6	868.013	86.851223643547	93.5908789400462
LR778292.1	C.acrinasus	THU067	6	314.319	79.5369294642857	84.0595270705283
LR778253.1	C.acrinasus	THU097	6	3507.96	106.47379722751	115.108791025909
LR778254.1	C.acrinasus	THU097	6	464.755	100.515662633115	89.7301298840841
LR778255.1	C.acrinasus	THU097	6	487.145	99.357399255618	89.0748440001316
LR778256.1	C.acrinasus	THU097	6	745.167	108.026592645249	103.375036954846
