Plate	Sample	Concentration	ng20	Volume	Amount
A	LAN039	0.994	19.88	10.0603621730382	10
A	SUO012	1.24	24.8	8.06451612903226	10
A	BRZ019	1.56	31.2	6.41025641025641	10
A	THU027	1.63	32.6	6.13496932515337	10
A	LAN040	0.882	17.64	11.3378684807256	10
A	SUO016	0.91	18.2	10.989010989011	10
A	BIE008	1.19	23.8	8.40336134453782	10
A	BRZ020	1.44	28.8	6.94444444444444	10
A	THU038	1.12	22.4	8.92857142857143	10
A	WAL010	1.34	26.8	7.46268656716418	10
A	LAN041	0.728	14.56	13.7362637362637	10
A	SUO019	1.46	29.2	6.84931506849315	10
A	BRZ021	1.48	29.6	6.75675675675676	10
A	THU039	1.12	22.4	8.92857142857143	10
A	LAN042	0.988	19.76	10.1214574898785	10
A	SUO020	1.34	26.8	7.46268656716418	10
A	BIE028	1.12	22.4	8.92857142857143	10
A	BRZ025	1.18	23.6	8.47457627118644	10
A	THU056	1.32	26.4	7.57575757575758	10
A	WAL014	1.31	26.2	7.63358778625954	10
A	LAN043	0.844	16.88	11.8483412322275	10
A	SUO022	0.51	10.2	19.6078431372549	10
A	BRZ026	0.908	18.16	11.0132158590308	10
A	THU060	0.718	14.36	13.9275766016713	10
A	LAN044	0.488	9.76	20.4918032786885	10
A	SUO023	0.58	11.6	17.2413793103448	10
A	BIE030	0.9	18	11.1111111111111	10
A	BRZ027	0.952	19.04	10.5042016806723	10
A	THU061	1.21	24.2	8.26446280991736	10
A	WAL016	1.08	21.6	9.25925925925926	10
A	LAN045	1.77	35.4	5.64971751412429	10
A	SUO027	0.76	15.2	13.1578947368421	10
A	BRZ028	0.986	19.72	10.1419878296146	10
A	THU066	1.57	31.4	6.36942675159236	10
A	LAN047	0.666	13.32	15.015015015015	10
A	SUO030	1.08	21.6	9.25925925925926	10
A	BIE044	0.522	10.44	19.1570881226054	10
A	BRZ031	0.322	6.44	25	8.05
A	THU067	0.488	9.76	20.4918032786885	10
A	WAL021	0.204	4.08	25	5.1
A	LAN048	0.203	4.06	25	5.075
A	SUO031	0.232	4.64	25	5.8
A	BRZ033	0.24	4.8	25	6
A	THU073	0.406	8.12	24.6305418719212	10
