175600 	 5995014 	 5920618
175601 	 3124307 	 2744591
175602 	 2673386 	 2379577
175603 	 4905661 	 4339534
175604 	 5998725 	 5848245
175605 	 5793467 	 5562920
175606 	 7690337 	 7441241
175607 	 4760793 	 4696906
175608 	 4536799 	 4473888
175609 	 5597658 	 5532400
175610 	 6872532 	 6341167
175611 	 5948079 	 5427867
175612 	 6256268 	 5730942
175613 	 6340853 	 6237527
175614 	 6262117 	 6169843
175615 	 6717553 	 6662272
175616 	 7034394 	 6982334
175617 	 6365599 	 6263420
175618 	 7820706 	 7760623
175619 	 7111201 	 7046994
175620 	 6056149 	 6022743
175621 	 6250797 	 6114229
BIE002 	 2648121 	 2612611
BIE004 	 2171805 	 2148764
BIE005 	 1142518 	 1136183
BIE006 	 672165 	 676003
BIE007 	 1847210 	 1842281
BIE008 	 922171 	 917562
BIE028 	 4920479 	 4875163
BIE030 	 2333194 	 2337321
BIE044 	 2984760 	 2618678
BIE045 	 963133 	 866407
BIE048 	 4803049 	 4625950
BIE049 	 2220749 	 2217091
BIE050 	 4509917 	 4445569
BIE092 	 5475228 	 5486431
BRZ001 	 4574241 	 4493841
BRZ004 	 6999093 	 6916499
BRZ005 	 5640546 	 5478940
BRZ006 	 7256729 	 7183598
BRZ008 	 6181766 	 6095005
BRZ011 	 4173341 	 4179189
BRZ013 	 3770743 	 3765238
BRZ014 	 1417202 	 1394391
BRZ015 	 2611941 	 2583656
BRZ019 	 1740598 	 1741286
BRZ020 	 5001531 	 4895532
BRZ021 	 3211116 	 3198792
BRZ025 	 2705911 	 2697518
BRZ026 	 3229776 	 3191711
BRZ027 	 3075709 	 3116900
BRZ028 	 4611491 	 4538329
BRZ031 	 2093321 	 1857325
BRZ033 	 1308537 	 1178014
BRZ034 	 1705837 	 1516551
BRZ039 	 3027816 	 2935035
BRZ040 	 1913919 	 1861470
BRZ041 	 2871061 	 2849163
BRZ044 	 2468601 	 2503868
BRZ045 	 956004 	 882682
BRZ046 	 3991566 	 3934452
BRZ047 	 2906622 	 2910564
BRZ052 	 5276358 	 5218791
BRZ054 	 4575408 	 4562244
BRZ057 	 5882962 	 5821693
BRZ066 	 1169011 	 1160192
BRZ068 	 3310761 	 3249110
BRZ070 	 4059995 	 4069708
BRZ071 	 2304408 	 2325860
BRZ083 	 6218542 	 6077813
BRZ099 	 4239372 	 4201164
BRZ107 	 4158958 	 4115845
BRZ108 	 655051 	 644848
BRZ110 	 1222548 	 1215025
BRZ111 	 1161955 	 1173765
BRZ114 	 3126646 	 3136098
BRZ115 	 1555179 	 1544368
HOP001 	 1034 	 1139
HOP002 	 828 	 825
HOP003 	 1200 	 1155
HOP004 	 947 	 967
